"","text"
"118"," los chairos me dan risapara ellos antes de que gobernara teniamos la tranquilidad de noruega el crec"
"119"," si si sera una dictadura amlo quiere ser rey jajajaja"
"120"," loquefaltabanunca se unieron y abandonaron el senado por la violencia ni la corrupcion pero ahora el pri pan y prd"
"121"," si yo tambien dudo de esa democracia sobre todo porque la campana "
"122","es inaceptable que el gobierno de amlo permita que manifestantes agredan a un servidor publico del pjf los seguido "
"123"," el extra para los bonistas que ya rechazaron habra que dar mas son millones de dolares millones de pesosam"
"124"," amlo convocara a una consulta para determinar si manda arrestar a ese senor elmer kado que tanto le estorba en sus propuest"
"125"," cuantos errores de amlo desde la cancelacion de la construccion del naicm en texoco hasta la derogacion de la reforma"
"126"," si amlo tuviera los millones de dolares que te pago el chapo por dejarlo escapar de la carcel te aseg"
"127"," una raya mas al tigre  como si la gente no estuviera furiosa al ver como defienden sus millonarios sueldos "
"128"," celebran con jubilo abrogacion de la reforma educativa duro amlo contra el prian "
"129"," recuerdo un chiste en el que tipico personaje menso llegaba a presumirle a sus amigos que creen me chingue al del camion"
"130","el estado mexicano debe ser el eje rector para impulsar la economia como lo propone amlo  "
"131"," chairos ignorantes y resentidos gracias am "
"132"," y de que vivio esos anos que estuvo de campana por todo el pais se le olvida que fue del pri del prd y que fundo s"
"133"," y ahora que amlo ya reconocio que los salarios de los ministros magistrados y jueces de no pueden reducirse porq"
"134"," no son manifestantes son porros de amlo"
"135"," las imagenes del magistrado serrano que se viralizaron demuestran por que los mexicanos no apoyan los lujos y altos s"
"136"," er acto denise dresser dice no tener simpatia por ningun partidodo acto dresser apoyo electoralmente al joven pan"
"137"," ese extra que se ofrece a los bonistas son millones de dolaresunos millones de pesos mas dinero a la coladera"
"138"," enrique galvan ochoa comenta la estrategia de amlo de ir al informe del presidente de lascjn pero no"
"139"," hace tiempo q ella habia caido de mi gracia cuando se volvio enteramente contra amlo aparentemen"
"140"," el extra para los bonistas que ya rechazaron habra que dar mas son millones de dolares millones de pesosam"
"141"," el pgloco va contra autonomia universitaria y preparan el golpe contra la educacion superior para imponer educacion social"
"142"," en el pleito entre y de que lado estas la historia aqui  "
"143"," mira a amlo no le interesa los mexicanos como el argumenta el lo que quiere es el poder absoluto del pais y"
"144","me ha gustado un video de tump queria tratar a amlo como a pena y mira como lo dejo en"
"145"," er acto denise dresser dice no tener simpatia por ningun partidodo acto dresser apoyo electoralmente al joven pan"
"146"," la falta de continuidad en las politicas educativas se ha traducido en los pobres resultados de calidad que ya conocemos"
"147"," a mi no me gusta amlo pero pendejo no le digo"
"148"," recuerdo un chiste en el que tipico personaje menso llegaba a presumirle a sus amigos que creen me chingue al del camion"
"149"," hoy en su rueda de prensa leyo un decreto de benito juarez de donde el propio juarez se reduce su suel"
"150"," gabriel zaid criticaba a amlo por ser viejo y denise dresser a por ser jovenanda poco creativa la derecha"
"151"," ahora resulta que el prianismo que por anos nos tuvo en una dictadura disfrazada dice que es un dictador"
"152"," para enfrentar la inseguridad las madrespara no tener impacto ambiental la madre tierrapara darle en la madre a la ec"
"153"," canchasimpson finalligamx america  cruz azulcuando te enteras que amlo entregara el domingo el  titulo de ligam"
"154"," si amlo depende de sus pesos mensuales menos impuestos me preocupa de que vivira cuando termine su mandato a"
"155"," eso es lo que ocasiona el peje con sus dichos trabajar no es delito y recibir un sueldo tampoco en su contrato se estipulo el"
"156"," has vivido injusticias en el imss o en el issste  no te han dado las medicinas porque no hay  te niegan citas"
"157"," dia de amlo al frente  en llamada con trump este mexico ya esta pagando por el muro mientras nto pdte dice "
"158"," que curioso le exigen a amlo que acabe con las malas practicas del magisterio de ventas y herencia de plazas pero no quier"
"159"," puro circo amlo dice que no renunciara a su salario pues no soy rico vivo del sueldo dice que ese ingreso le permite"
"160"," ah caramba y las medidas economicas que hoy jueves anunciaria si tuvo viaj "
"161"," la suprema corte ordeno la creacion de una comision de la verdad para investigar el caso ayotzinapa epn y la pgr se n"
"162"," esta generando una division "
"163"," ahora resulta que el prianismo que por anos nos tuvo en una dictadura disfrazada dice que es un dictador"
"164"," nunca habia visto de cerca a amlonunca habia hablado con un presidentehasta que ayer cuando es "
"165"," con todo el respeto para quienes hacen esos rituales pero es una mamamamamamamamamamamada del tamano "
"166","podremos juzgar a riobo y romo a amlo ebrard monreal al senor de las ligas a napito elba esther a las empre "
"167"," amlo espera al igual que todos cosechar justicia sin embargo esta"
"168"," entonces y esperemos que no sean los verdaderos muertos de amlo"
"169"," secretario de marina antes de amlosecretario de marina de amlo notan la diferencia "
"170"," hacendelajusticiaunlujosincuotasnicuatespor una real independencia de poderespasedelistaal propuest"
"171"," en el pleito entre y de que lado estas la historia aqui  "
"172"," si es cierto siempre salen con chairo pejezombie descalzonados morenacosups perdonesos no son los vo"
"173"," bien amlo y bien por la ta transformacio "
"174"," nunca habia visto de cerca a amlonunca habia hablado con un presidentehasta que ayer cuando escucheno vas a ten"
"175"," el diputado juan carlos romero hicks informo sobre el dialogo que tuvo con el secretario de educacion"
"176"," dia de amlo al frente  en llamada con trump este mexico ya esta pagando por el muro mientras nto pdte dice "
"177"," eso significa que amlo sera recordado tambien como el presidente mexicano que pago el muro de trump"
"178"," que haces defendiendo a amlo "
"179"," no le busques tanto aqui esta ahora quiero que con la misma vehemen "
"180"," un ciudadano se encuentra al presidente en un semaforo le toca el claxon y asi reacciono amlo h"
"181"," er acto denise dresser dice no tener simpatia por ningun partidodo acto dresser apoyo electoralmente al joven pan"
"182"," amlo cabron escuchame cancela todos los aeropuertos di las tonterias que quieras perdona a quien quieras pero porfavor"
"183","  rt si crees que amlo  ya confirmo que si es  un peligro para el pais "
"184"," el diputado juan carlos romero hicks informo sobre el dialogo que tuvo con el secretario de educacion"
"185"," sacan a juanzepedade la comision de justicia del senado porque morena tiene miedo de que se les atore su ministrocarnal"
"186"," los expertos calculan que los recortes burocraticos aportaran aproximadamente mil millones de pesos suena mucho pero es"
"187","se imaginan como son las platicas de amistat entre trun y el mesias una llamada de frases ha de durar  "
"188"," oaxaca impulso la federalizacion de los servicios de salud amlo estara en la entidad los dias y murat h"
"189"," cuando empezaran a decir que amlo nos quiere convertir en francia "
"190"," amlo convocara a una consulta para determinar si manda arrestar a ese senor elmer kado que tanto le estorba en sus propuest"
"191"," no soy un florero porque los floreros no tienen huevos y es de ellos que me tienen bien agarrado los tenedores de bonos am"
"192"," amlo niega donar su sueldo porque no tendria para mantener a su familiaesta bien pero saben quienes tambien nec"
"193"," eso es lo que pasa con gente ignorante que "
"194"," dias y dias de escupir odio contra los ministros empiezan a rendir frutoscierto amlo "
"195"," pregunta honesta si amlo no puede renunciar a su sueldo actual porque vive de el entonces de que vivio durante los doce"
"196","no puedo creer que estuve a punto de votar por amlo "
"197"," amlo y su milagroso billete de que le alcanza para todo"
"198"," que verguenza defender el pacto entre amlo y el magisterio para que la educacion quede igu "
"199"," gracias a las benditas redes podemos tener una memoria de las promesas de los politicosesto decia e"
